lvl1;lvl2;lvl3;lvl4
Транспорт;Аэронавигация и эксплуатация авиационных систем;остальное3;остальное4
Транспорт;Управление, эксплуатация и инфраструктура водного транспорта;остальное3;остальное4
Транспорт;Эксплуатация и инфраструктура наземного транспорта;остальное3;остальное4
Соц сфера и сфера услуг;Гостеприимство, сервис и оказание услуг;остальное3;остальное4
Соц сфера и сфера услуг;Социальная сфера;остальное3;остальное4
Сельское, лесное, рыбное хозяйство, ветеринария и зоотехния;Ветеринария и зоотехния;остальное3;остальное4
Сельское, лесное, рыбное хозяйство, ветеринария и зоотехния;Лесное хозяйство и лесопромышленные технологии;остальное3;остальное4
Сельское, лесное, рыбное хозяйство, ветеринария и зоотехния;Рыбное хозяйство;остальное3;остальное4
Сельское, лесное, рыбное хозяйство, ветеринария и зоотехния;Сельское хозяйство;остальное3;остальное4
остальное1;остальное2;остальное3;остальное4
Образование и педагогические науки;остальное2;остальное3;остальное4
Образование и педагогические науки;Педагогика и психология девиантного поведения;Основное и среднее общее образование;остальное4
Образование и педагогические науки;Педагогика и психология девиантного поведения;остальное3;остальное4
Образование и педагогические науки;Педагогическое образование;Hard-skills;остальное4
Образование и педагогические науки;Педагогическое образование;Soft-skills;остальное4
Образование и педагогические науки;Педагогическое образование;Воспитательная деятельность;остальное4
Образование и педагогические науки;Педагогическое образование;Высшее образование;остальное4
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;остальное4
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;Иностранные языки (английский)
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;Математика
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;Русский язык и литература
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;Биология
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;Искусство
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;Информатика
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;История и обществознание
Образование и педагогические науки;Педагогическое образование;Дополнительное образование;Иностранные языки (иные)
Образование и педагогические науки;Педагогическое образование;Дошкольное образование;остальное4
Образование и педагогические науки;Педагогическое образование;Начальное общее образование;остальное4
Образование и педагогические науки;Педагогическое образование;Начальное общее образование;Иностранные языки (английский)
Образование и педагогические науки;Педагогическое образование;Начальное общее образование;Искусство
Образование и педагогические науки;Педагогическое образование;Начальное общее образование;Физическая культура
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Математика
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Информатика
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Физика
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Химия
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Биология
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;География
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;История и обществознание
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Русский язык и литература
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Иностранные языки (английский)
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Иностранные языки (иные)
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Искусство
Образование и педагогические науки;Педагогическое образование;Независимая диагностика компетенций;Труд обж однкр обзр
Образование и педагогические науки;Педагогическое образование;Олимпиадная подготовка;остальное4
Образование и педагогические науки;Педагогическое образование;Организация и проведение ГИА;остальное4
Образование и педагогические науки;Педагогическое образование;Организация и проведение ГИА;Члены ПК ГИА-9, 11
Образование и педагогические науки;Педагогическое образование;Организация и проведение ГИА;Руководители и помощники руководителей ППЭ
Образование и педагогические науки;Педагогическое образование;Организация и проведение ГИА;Члены ГЭК
Образование и педагогические науки;Педагогическое образование;Организация и проведение ГИА;Технические специалисты ППЭ
Образование и педагогические науки;Педагогическое образование;Организация и проведение ГИА;Организаторы в(вне) аудитории
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;остальное4
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Математика
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Русский язык и литература
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;История и обществознание
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Информатика
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Физика
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Биология
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;География
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Химия
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Труд обж однкр обзр
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Иностранные языки (английский)
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Искусство
Образование и педагогические науки;Педагогическое образование;Основное и среднее общее образование;Иностранные языки (иные)
Образование и педагогические науки;Педагогическое образование;остальное3;остальное4
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Инженерный класс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Медицинский класс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Академический класс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;ИТ-класс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Психолого-педагогический класс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Медиакласс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Предпринимательский класс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Кадетский класс
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;ИТ-вертикаль
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Математическая вертикаль (обычная и плюс)
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Естественно-научная вертикаль
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;Московский предуниверсарий
Образование и педагогические науки;Педагогическое образование;Предпрофессиональная подготовка и профильное обучение;остальное4
Образование и педагогические науки;Педагогическое образование;Профмастерство (Мастера, Мастерята, WSR);остальное4
Образование и педагогические науки;Педагогическое образование;Среднее профессиональное;остальное4
Образование и педагогические науки;Профессиональное обучение (по отраслям);остальное3;остальное4
Образование и педагогические науки;Психолого-педагогическое образование;Дополнительное образование;остальное4
Образование и педагогические науки;Психолого-педагогическое образование;Дошкольное образование;остальное4
Образование и педагогические науки;Психолого-педагогическое образование;Дошкольное образование;Физическая культура
Образование и педагогические науки;Психолого-педагогическое образование;Дошкольное образование;Искусство
Образование и педагогические науки;Психолого-педагогическое образование;Начальное общее образование;остальное4
Образование и педагогические науки;Психолого-педагогическое образование;Ограниченые возможности здоровья;остальное4
Образование и педагогические науки;Психолого-педагогическое образование;Основное и среднее общее образование;остальное4
Образование и педагогические науки;Психолого-педагогическое образование;остальное3;остальное4
Образование и педагогические науки;Специальное (дефектологическое) образование;Дополнительное образование;остальное4
Образование и педагогические науки;Специальное (дефектологическое) образование;Дошкольное образование;остальное4
Образование и педагогические науки;Специальное (дефектологическое) образование;Начальное общее образование;остальное4
Образование и педагогические науки;Специальное (дефектологическое) образование;Основное и среднее общее образование;остальное4
Образование и педагогические науки;Специальное (дефектологическое) образование;остальное3;остальное4
Образование и педагогические науки;Физическая культура и спорт;остальное3;остальное4
Образование и педагогические науки;Физическая культура для лиц с отклонениями в состоянии здоровья;остальное3;остальное4
Оборона и безопасность;Военное управление;остальное3;остальное4
Оборона и безопасность;Обеспечение государственной безопасности;остальное3;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Бизнес-информатика;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Государственное и муниципальное управление;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Закупки;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Кадры;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Менеджмент;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Обеспечение образовательной организации;Оказание первой помощи
Науки об обществе и человеке;Экономика, бизнес и управление;Обеспечение образовательной организации;Транспортная безопасность
Науки об обществе и человеке;Экономика, бизнес и управление;Обеспечение образовательной организации;Пожарная безопасность
Науки об обществе и человеке;Экономика, бизнес и управление;Обеспечение образовательной организации;Безопасность жизнедеятельности
Науки об обществе и человеке;Политика, социология и международные процессы;остальное3;остальное4
Науки об обществе и человеке;Психологические науки;Психология;остальное4
Науки об обществе и человеке;Психологические науки;Клиническая психология;остальное4
Науки об обществе и человеке;Психологические науки;Психология служебной деятельности;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Таможенное дело;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Управление образовательной организацией;Качество образования
Науки об обществе и человеке;Экономика, бизнес и управление;Управление образовательной организацией;Содержание образования
Науки об обществе и человеке;Экономика, бизнес и управление;Управление образовательной организацией;Воспитание
Науки об обществе и человеке;Экономика, бизнес и управление;Финансы;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Экономика;остальное4
Науки об обществе и человеке;Экономика, бизнес и управление;Экономическая безопасность;остальное4
Науки об обществе и человеке;Юриспруденция;остальное3;остальное4
Математические и естественные науки;Биологические науки;остальное3;остальное4
Математические и естественные науки;Науки о земле;остальное3;остальное4
Математические и естественные науки;Физико-математические науки;остальное3;остальное4
Математические и естественные науки;Химические науки;остальное3;остальное4
Искусство и культура;Изобразительное и прикладные виды искусств;остальное3;остальное4
Искусство и культура;Искусствознание;остальное3;остальное4
Искусство и культура;Культурология и социокультурные практики;остальное3;остальное4
Искусство и культура;Музыкальное искусство;остальное3;остальное4
Искусство и культура;Сценические искусства и литературное творчество;остальное3;остальное4
Искусство и культура;Экранные искусства;остальное3;остальное4
Инженерное дело;Авиационная и ракетно-космическая техника;остальное3;остальное4
Инженерное дело;Архитектура;остальное3;остальное4
Инженерное дело;Биотехнологии и пищевые технологии;остальное3;остальное4
Инженерное дело;Кораблестроение и морская техника;остальное3;остальное4
Инженерное дело;Машиностроение;остальное3;остальное4
Инженерное дело;Оружие и системы вооружения;остальное3;остальное4
Инженерное дело;Прикладная геология, горное дело, нефтегазовое дело, геодезия и землеустройство;остальное3;остальное4
Инженерное дело;Производство материалов и изделий потребительского и технического назначения;остальное3;остальное4
Инженерное дело;Строительство и жилищно-коммунальное хозяйство;остальное3;остальное4
Инженерное дело;Техносферная безопасность и природообустройство;остальное3;остальное4
Инженерное дело;Управление в технических системах;остальное3;остальное4
Инженерное дело;Физико-технические науки и технологии;остальное3;остальное4
Инженерное дело;Химические технологии и технологии материалов;остальное3;остальное4
Инженерное дело;Электроника, фотоника, приборостроение и связь;остальное3;остальное4
Инженерное дело;Энергетика, энергетическое машиностроение и электротехника;остальное3;остальное4
Инженерное дело;Ядерные технологии;остальное3;остальное4
ИКТ, ИБ и КН;"Информатика,
вычислительная техника и искусственный интеллект";остальное3;остальное4
ИКТ, ИБ и КН;Информационная безопасность;остальное3;остальное4
ИКТ, ИБ и КН;Фундаментальная информатика и математическое обеспечение компьютерных наук;остальное3;остальное4
Здравоохранение и медицинские науки;Клиническая медицина;остальное3;остальное4
Здравоохранение и медицинские науки;Науки о здоровье и профилактическая медицина;остальное3;остальное4
Здравоохранение и медицинские науки;Организация здравоохранения и общественное здоровье;остальное3;остальное4
Здравоохранение и медицинские науки;Фармация;остальное3;остальное4
Здравоохранение и медицинские науки;Фундаментальная медицина;остальное3;остальное4
Гуманитарные науки и языки;Востоковедение и африканистика;остальное3;остальное4
Гуманитарные науки и языки;Исторические науки;остальное3;остальное4
Гуманитарные науки и языки;Теология;остальное3;остальное4
Гуманитарные науки и языки;Философия, этика и религиоведение;остальное3;остальное4
Гуманитарные науки и языки;Язык, общественные коммуникации, медиа и журналистика;остальное3;остальное4
